,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Dawn FM (Alternate World),1,3gj1hwjku4JaoamjJVqIIl,Dawn FM,spotify:track:3gj1hwjku4JaoamjJVqIIl,0.674,0.28,0.478,5.85e-05,0.483,-8.755,0.037,111.65,0.0807,54
1,Dawn FM (Alternate World),2,6Uj2XaahtYXK2WeD7GGwBY,Gasoline,spotify:track:6Uj2XaahtYXK2WeD7GGwBY,0.000582,0.728,0.741,0.00206,0.33,-7.075,0.0473,123.006,0.31,55
2,Dawn FM (Alternate World),3,3kOtREqmcGaEA2KhqffFnw,How Do I Make You Love Me?,spotify:track:3kOtREqmcGaEA2KhqffFnw,0.0203,0.805,0.498,2.37e-05,0.085,-7.927,0.0737,121.006,0.636,54
3,Dawn FM (Alternate World),4,3WXyY2PxX88kpBtB0GH61w,Take My Breath,spotify:track:3WXyY2PxX88kpBtB0GH61w,0.0128,0.698,0.769,0.00166,0.238,-7.154,0.0368,121.02,0.354,54
4,Dawn FM (Alternate World),5,0xa4hvXeYHRRNhA7wBfUar,Sacrifice,spotify:track:0xa4hvXeYHRRNhA7wBfUar,0.0296,0.735,0.795,3.18e-05,0.0678,-6.523,0.113,122.0,0.905,54
5,Dawn FM (Alternate World),6,23iLEDPEJpcfYOw1tVhd2o,A Tale By Quincy,spotify:track:23iLEDPEJpcfYOw1tVhd2o,0.679,0.447,0.512,2.98e-05,0.096,-8.67,0.128,67.291,0.571,50
6,Dawn FM (Alternate World),7,25C86uEjQ0fjj3bvsxIusO,Out of Time,spotify:track:25C86uEjQ0fjj3bvsxIusO,0.232,0.617,0.762,0.0,0.291,-4.467,0.0469,92.971,0.823,55
7,Dawn FM (Alternate World),8,0khQeEwEv6GndVypzpGOG5,"Here We Go… Again (feat. Tyler, the Creator)",spotify:track:0khQeEwEv6GndVypzpGOG5,0.345,0.469,0.623,0.0,0.588,-4.432,0.0302,134.943,0.198,51
8,Dawn FM (Alternate World),9,4cm7Ap6IWH6m8JyB9IXT3x,Best Friends,spotify:track:4cm7Ap6IWH6m8JyB9IXT3x,0.436,0.737,0.564,0.0,0.351,-7.045,0.105,90.0,0.528,51
9,Dawn FM (Alternate World),10,37zcCimcUGurQoLEAuN8nR,Is There Someone Else?,spotify:track:37zcCimcUGurQoLEAuN8nR,0.0388,0.702,0.586,7.27e-05,0.156,-7.83,0.0313,134.951,0.608,55
10,Dawn FM (Alternate World),11,2022B8GxEstpvibwgbJ15s,Starry Eyes,spotify:track:2022B8GxEstpvibwgbJ15s,0.465,0.309,0.418,7.58e-05,0.295,-8.622,0.031,134.23,0.146,51
11,Dawn FM (Alternate World),12,7q9Sr5kCkha0L49GAQctHl,Every Angel is Terrifying,spotify:track:7q9Sr5kCkha0L49GAQctHl,0.109,0.447,0.959,2.75e-05,0.0498,-5.59,0.348,118.167,0.46,49
12,Dawn FM (Alternate World),13,3TVnaEVbUBFmWYk9IOIwRo,Don’t Break My Heart,spotify:track:3TVnaEVbUBFmWYk9IOIwRo,0.31,0.767,0.618,0.0,0.179,-7.163,0.032,121.959,0.243,49
13,Dawn FM (Alternate World),14,7p2wRa4m9KVXEXUlkJLhUi,I Heard You're Married (feat. Lil Wayne),spotify:track:7p2wRa4m9KVXEXUlkJLhUi,0.103,0.736,0.848,0.0,0.299,-5.494,0.171,109.946,0.784,49
14,Dawn FM (Alternate World),15,02w1rM6spvEcbFxd63xCl2,Less Than Zero,spotify:track:02w1rM6spvEcbFxd63xCl2,0.00096,0.535,0.791,0.000155,0.0788,-5.55,0.0327,142.981,0.5,53
15,Dawn FM (Alternate World),16,0DvtQkuaV0VrSHgb5pwRke,Phantom Regret by Jim,spotify:track:0DvtQkuaV0VrSHgb5pwRke,0.75,0.394,0.519,0.195,0.129,-11.042,0.0465,110.113,0.241,47
16,Dawn FM (Alternate World),17,1S9DHKpS73KFVN7nnIql3f,Moth To A Flame (with The Weeknd),spotify:track:1S9DHKpS73KFVN7nnIql3f,0.00279,0.542,0.659,0.0,0.105,-7.289,0.0389,120.122,0.109,52
17,Dawn FM (Alternate World),18,1Jz0fAhw41suiAVekjAoLi,Dawn FM - OPN Remix,spotify:track:1Jz0fAhw41suiAVekjAoLi,0.586,0.337,0.719,0.00167,0.1,-4.068,0.0375,184.537,0.275,47
18,Dawn FM (Alternate World),19,2urqWNGpjl07PLAafoa5nT,How Do I Make You Love Me? - Sebastian Ingrosso & Salvatore Ganacci Remix,spotify:track:2urqWNGpjl07PLAafoa5nT,0.0145,0.863,0.802,0.597,0.111,-4.995,0.0476,124.012,0.379,51
19,Dawn FM (Alternate World),20,0QE33jkiMTzCI8momkDmQY,Sacrifice (Remix) (feat. Swedish House Mafia),spotify:track:0QE33jkiMTzCI8momkDmQY,0.0312,0.774,0.742,5.03e-05,0.0907,-7.391,0.0784,122.028,0.677,47
20,Dawn FM (Alternate World),21,6yuRNAxPh712eIib8UPI6U,Out of Time - KAYTRANADA Remix,spotify:track:6yuRNAxPh712eIib8UPI6U,0.0924,0.737,0.673,3.73e-05,0.0908,-6.962,0.271,108.033,0.597,45
21,Dawn FM (Alternate World),22,6I5gj0D4OEScl48BPFR0J1,Best Friends - Remix,spotify:track:6I5gj0D4OEScl48BPFR0J1,0.24,0.608,0.649,0.0,0.311,-6.569,0.113,180.22,0.612,46
22,Dawn FM (Alternate World),23,5T0ZsRG7hVgXeffepN8Kmk,Starry Eyes - MIKE DEAN Remix,spotify:track:5T0ZsRG7hVgXeffepN8Kmk,0.477,0.318,0.475,2.76e-05,0.341,-7.513,0.0329,99.981,0.254,46
23,Dawn FM (Alternate World),24,3nUHfbfj1cpnn8ZjS4tNDW,Take My Breath - Single Version,spotify:track:3nUHfbfj1cpnn8ZjS4tNDW,0.0102,0.746,0.739,2.15e-05,0.101,-6.008,0.0488,121.009,0.512,45
24,Dawn FM (Alternate World),1,0tRzZW3c54dHtRXBd1ADGo,Dawn FM,spotify:track:0tRzZW3c54dHtRXBd1ADGo,0.674,0.28,0.478,5.85e-05,0.483,-8.755,0.037,111.65,0.0807,33
